YrType,Pollock|Shumagin (610),Pollock|Chirikof (620),Pollock|610/620,Pollock|Kodiak (630),Pollock|610/620/630 (subtotal),Pollock|Shelikof,Pollock|WYK (640),Pollock|W/C/WYK (subtotal),Pollock|SEO (650),Pollock|WYK/SEO (subtotal),Pollock|E,Pollock|Total,Pacific cod|W,Pacific cod|C ,Pacific cod|E,Pacific cod|Total,Sablefish|W,Sablefish|C,Sablefish|E,Sablefish|WYK  ,Sablefish|SEO  ,Sablefish|EYK,Sablefish|SEO/EYK,Sablefish|E (WYK and SEO subtotal),Sablefish|Total,Shallow-water Flatfish|W,Shallow-water Flatfish|C,Shallow-water Flatfish|E,Shallow-water Flatfish|WYK,Shallow-water Flatfish|SEO,Shallow-water Flatfish|Total,Deep-water Flatfish|W,Deep-water Flatfish|C,Deep-water Flatfish|E,Deep-water Flatfish|WYK,Deep-water Flatfish|SEO,Deep-water Flatfish|Total,Other Flounder|W,Other Flounder|C,Other Flounder|E,Other Flounder|Total,Rex Sole|W,Rex Sole|C,Rex Sole|E,Rex Sole|WYK,Rex Sole|SEO,Rex Sole|Total,Arrowtooth Flounder|W,Arrowtooth Flounder|C,Arrowtooth Flounder|E,Arrowtooth Flounder|WYK,Arrowtooth Flounder|SEO,Arrowtooth Flounder|Total,Flathead Sole|W,Flathead Sole|C,Flathead Sole|E,Flathead Sole|WYK,Flathead Sole|SEO,Flathead Sole|Total,Pacific Ocean Perch|W,Pacific Ocean Perch|C,Pacific Ocean Perch|E,Pacific Ocean Perch|WYK,Pacific Ocean Perch|W/C/WYK  ,Pacific Ocean Perch|SEO,Pacific Ocean Perch|E (WYK and SEO subtotal),Pacific Ocean Perch|Total,Northern Rockfish|W,Northern Rockfish|C,Northern Rockfish|E,Northern Rockfish|Total,Shortraker Rockfish|W,Shortraker Rockfish|C,Shortraker Rockfish|E,Shortraker Rockfish|Total,Shortraker/Rougheye Rockfish|W,Shortraker/Rougheye Rockfish|C,Shortraker/Rougheye Rockfish|E,Shortraker/Rougheye Rockfish|Total,Dusky Rockfish (pelagic shelf rockfish)|W,Dusky Rockfish (pelagic shelf rockfish)|C,Dusky Rockfish (pelagic shelf rockfish)|WYK,Dusky Rockfish (pelagic shelf rockfish)|SEO,Dusky Rockfish (pelagic shelf rockfish)|Total,Pelagic Shelf Rockfish|W,Pelagic Shelf Rockfish|C,Pelagic Shelf Rockfish|E,Pelagic Shelf Rockfish|WYK,Pelagic Shelf Rockfish|SEO,Pelagic Shelf Rockfish|Total,Rougheye and Blackspotted Rockfish|W,Rougheye and Blackspotted Rockfish|C,Rougheye and Blackspotted Rockfish|E,Rougheye and Blackspotted Rockfish|Total,Demersal Shelf Rockfish|SEO,Thornyhead Rockfish|W,Thornyhead Rockfish|C,Thornyhead Rockfish|E,Thornyhead Rockfish|Total (GW),Other Rockfish|W,Other Rockfish|C,Other Rockfish|W and C,Other Rockfish|E,Other Rockfish|WYK,Other Rockfish|SEO,Other Rockfish|GW,Other Rockfish|Total,Atka Mackerel|W,Atka Mackerel|C,Atka Mackerel|E,Atka Mackerel|Total (GW),Big Skates|W,Big Skates|C,Big Skates|E,Big Skates|Total,Longnose Skates|W,Longnose Skates|C,Longnose Skates|E,Longnose Skates|Total,Other Skates|GW,Other Species|W,Other Species|C,Other Species|E,Other Species|Total (GW),Sculpins|GW,Sharks|GW,Squids|GW,Octopus|GW,Total|Total
2018|TAC,30188,79495,,40939,,,6833,157455,8773,,,166228,5657,6089,1350,13096,1544,5158,,1829,2974,,,4803,11505,13250,25315,,2242,1925,42732,413,3400,,3239,2332,9384,,,,,3086,8739,,1737,1811,15373,14500,48000,,6900,6900,76300,8650,15400,,1932,406,26388,3312,20112,,3371,26795,2441,,29236,420,3261,0,3681,44,305,515,864,,,,,146,3502,232,77,3957,,,,,,,176,556,712,1444,250,344,921,773,2038,,,1737,,368,200,,2305,,,,3000,504,1774,570,2848,149,2804,619,3572,1384,,,,,5301,4514,1137,975,427512
2017|OFL,n/a,n/a,,n/a,,,n/a,235807,13226,,,249033,n/a,n/a,n/a,105378,n/a,n/a,,n/a,n/a,,,n/a,11885,n/a,n/a,,n/a,n/a,54583,n/a,n/a,,n/a,n/a,11182,,,,,n/a,n/a,,n/a,n/a,10860,n/a,n/a,,n/a,n/a,219327,n/a,n/a,,n/a,n/a,43128,n/a,n/a,,n/a,25753,2073,,27826,n/a,n/a,n/a,4522,n/a,n/a,n/a,1715,,,,,n/a,n/a,n/a,n/a,5233,,,,,,,n/a,n/a,n/a,1594,357,n/a,n/a,n/a,2615,,,n/a,,n/a,n/a,,7424,,,,6200,n/a,n/a,n/a,5086,n/a,n/a,n/a,4274,2558,,,,,7338,6020,1516,6504,796158
2017|ABC,43602,98652,,48929,,,7492,"203,769",9920,,,213689,36291,44180,7871,88342,1349,4514,,1605,2606,,,4211,10074,20921,19306,,3188,1099,44514,256,3454,,3017,2565,9292,,,,,1459,4930,,850,1072,8311,28100,107934,,37405,12654,186093,11098,20339,,2949,857,35243,2679,16671,,2786,22136,1782,,23918,432,3354,4,3790,38,301,947,1286,,,,,158,3786,251,83,4278,,,,,,,105,706,516,1327,227,291,988,682,1961,,,1534,,574,3665,,5773,,,,4700,908,1850,1056,3814,61,2513,632,3206,1919,,,,,5591,4514,1137,4878,667877
2017|TAC,43602,98652,,48929,,,7492,198675,9920,,,208595,25404,33135,5903,64442,1349,4514,,1605,2606,,,4211,10074,13250,19306,,3188,1099,36843,256,3454,,3017,2565,9292,,,,,1459,4930,,850,1072,8311,14500,75000,,6900,6900,103300,8650,15400,,2949,857,27856,2679,16671,,2786,22136,1782,,23918,432,3354,0,3786,38,301,947,1286,,,,,158,3786,251,83,4278,,,,,,,105,706,516,1327,227,291,988,682,1961,,,1534,,574,200,,2308,,,,3000,908,1850,1056,3814,61,2513,632,3206,1919,,,,,5591,4514,1137,4878,535863
2016|OFL,n/a,n/a,,n/a,,,n/a,322858,13226,,,336084,n/a,n/a,n/a,116700,n/a,n/a,,n/a,n/a,,,n/a,10326,n/a,n/a,,n/a,n/a,54520,n/a,n/a,,n/a,n/a,11102,,,,,n/a,n/a,,n/a,n/a,9791,n/a,n/a,,n/a,n/a,219430,n/a,n/a,,n/a,n/a,42840,n/a,n/a,,n/a,26313,2118,,28431,n/a,n/a,n/a,4783,n/a,n/a,n/a,1715,,,,,n/a,n/a,n/a,n/a,5733,,,,,,,n/a,n/a,n/a,1596,364,n/a,n/a,n/a,2615,,,n/a,,n/a,n/a,,7424,,,,6200,n/a,n/a,n/a,5086,n/a,n/a,n/a,4274,2558,,,,,7338,6020,1530,6504,892964
2016|ABC,56494,124927,,57183,,,9348,"254,310",9920,,,264230,40503,49312,8785,98600,1272,4023,,1475,2317,,,3792,9087,20851,19242,,3177,1094,44364,186,3495,,2997,2548,9226,,,,,1315,4445,,766,967,7493,28183,107981,,37368,12656,186188,11027,20211,,2930,852,35020,2737,17033,,2847,22617,1820,,24437,457,3547,4,4004,38,301,947,1286,,,,,173,4147,275,91,4686,,,,,,,105,707,516,1328,231,291,988,682,1961,,,1534,,574,3665,,5773,,,,4700,908,1850,1056,3814,61,2513,632,3206,1919,,,,,5591,4514,1148,4878,727684
2016|TAC,56494,124927,,57183,,,9348,247952,9920,,,257872,28352,36984,6589,71925,1272,4023,,1475,2317,,,3792,9087,13250,19242,,3177,1094,36763,186,3495,,2997,2548,9226,,,,,1315,4445,,766,967,7493,14500,75000,,6900,6900,103300,8650,15400,,2930,852,27832,2737,17033,,2847,22617,1820,,24437,457,3547,0,4004,38,301,947,1286,,,,,173,4147,275,91,4686,,,,,,,105,707,516,1328,231,291,988,682,1961,,,1534,,574,200,,2308,,,,2000,908,1850,1056,3814,61,2513,632,3206,1919,,,,,5591,4514,1148,4878,590809
2015|OFL,n/a,n/a,,n/a,,,n/a,256545,16833,,,273378,n/a,n/a,n/a,140300,n/a,n/a,,n/a,n/a,,,n/a,12425,n/a,n/a,,n/a,n/a,54207,n/a,n/a,,n/a,n/a,15993,,,,,n/a,n/a,,n/a,n/a,11957,n/a,n/a,,n/a,n/a,226390,n/a,n/a,,n/a,n/a,50792,n/a,n/a,,n/a,23406,954,,24360,n/a,n/a,n/a,5961,n/a,n/a,n/a,1764,,,,,n/a,n/a,n/a,n/a,6246,,,,,,,n/a,n/a,n/a,1345,361,n/a,n/a,n/a,2454,,,n/a,,n/a,n/a,,5347,,,,6200,n/a,n/a,n/a,4340,n/a,n/a,n/a,4291,2980,,,,,7448,7986,1530,2009,870064
2015|ABC,31634,97579,,52594,,,4719,"191,309",12625,,,203934,38702,61320,2828,102850,1474,4658,,1708,2682,,,4390,10522,22074,19297,,2209,625,44205,301,3689,,5474,3870,13334,,,,,1258,5816,,772,1304,9150,30752,114170,,36771,11228,192921,12767,24876,,3535,171,41349,2302,15873,,2014,20189,823,,21012,1226,3772,0,4998,92,397,834,1323,,,,,296,3336,1288,189,5109,,,,,,,115,632,375,1122,225,235,875,731,1841,,,1031,,580,2469,,4080,,,,4700,731,1257,1267,3255,152,2090,976,3218,2235,,,,,5569,5989,1148,1507,685597
2015|TAC,31634,97579,,52594,,,4719,186526,12625,,,199151,27091,45990,2121,75202,1474,4658,,1708,2682,,,4390,10522,13250,19297,,2209,625,35381,301,3689,,5474,3870,13334,,,,,1258,5816,,772,1304,9150,14500,75000,,6900,6900,103300,8650,15400,,3535,171,27756,2302,15873,,2014,20189,823,,21012,1226,3772,0,4998,92,397,834,1323,,,,,296,3336,1288,189,5109,,,,,,,115,632,375,1122,225,235,875,731,1841,,,1031,,580,200,,1811,,,,2000,731,1257,1267,3255,152,2090,976,3218,2235,,,,,5569,5989,1148,1507,536158
2014|OFL,n/a,n/a,,n/a,,,n/a,211998,16833,,,228831,n/a,n/a,n/a,107300,n/a,n/a,,n/a,n/a,,,n/a,12500,n/a,n/a,,n/a,n/a,50007,n/a,n/a,,n/a,n/a,16159,,,,,n/a,n/a,,n/a,n/a,12207,n/a,n/a,,n/a,n/a,229248,n/a,n/a,,n/a,n/a,50664,n/a,n/a,,n/a,21016,1303,,22319,n/a,n/a,n/a,6349,n/a,n/a,n/a,1764,,,,,n/a,n/a,n/a,n/a,6708,,,,,,,n/a,n/a,n/a,1497,438,n/a,n/a,n/a,2454,,,n/a,,n/a,n/a,,5347,,,,6200,n/a,n/a,n/a,5016,n/a,n/a,n/a,3835,2652,,,,,7448,7986,1530,2009,790468
2014|ABC,36070,81784,,39756,,,4741,162351,12625,,,174976,32745,53100,2655,88500,1480,4681,,1716,2695,,,4411,10572,20376,17813,,2039,577,40805,302,3727,,5532,3911,13472,,,,,1270,6231,,813,1027,9341,31142,115612,,37232,11372,195358,12730,24805,,3525,171,41231,2399,12855,,1931,17185,2124,,19309,1305,4017,0,5322,92,397,834,1323,,,,,317,3584,1384,201,5486,,,,,,,82,864,298,1244,274,235,875,731,1841,,,1031,,580,2470,,4081,,,,4700,589,1532,1641,3762,107,1935,834,2876,1989,,,,,5569,5989,1148,1507,640675
2014|TAC,36070,81784,,39756,,,4741,162351,12625,,,174976,22922,39825,1991,64738,1480,4681,,1716,2695,,,4411,10572,13250,17813,,2039,577,33679,302,3727,,5532,3911,13472,,,,,1270,6231,,813,1027,9341,14500,75000,,6900,6900,103300,8650,15400,,3525,171,27746,2399,12855,,1931,17185,2124,,19309,1305,4017,0,5322,92,397,834,1323,,,,,317,3584,1384,201,5486,,,,,,,82,864,298,1244,274,235,875,731,1841,,,1031,,580,200,,1811,,,,2000,589,1532,1641,3762,107,1935,834,2876,1989,,,,,5569,5989,1148,1507,499274
2013|OFL,n/a,n/a,,n/a,,,n/a,150817,14366,,,165183,n/a,n/a,n/a,97200,n/a,n/a,,n/a,n/a,,,n/a,14780,n/a,n/a,,n/a,n/a,55680,n/a,n/a,,n/a,n/a,6834,,,,,n/a,n/a,,n/a,n/a,12492,n/a,n/a,,n/a,n/a,247196,n/a,n/a,,n/a,n/a,61036,n/a,n/a,,n/a,16838,2081,,18919,n/a,n/a,n/a,6124,n/a,n/a,n/a,1441,,,,,n/a,n/a,n/a,n/a,5746,,,,,,,n/a,n/a,n/a,1482,487,n/a,n/a,n/a,2220,n/a,n/a,,,n/a,n/a,,5305,,,,6200,n/a,n/a,n/a,5023,n/a,n/a,n/a,3500,2706,,,,,7614,8037,1530,1941,738676
2013|ABC,28072,51443,,27372,,,3385,110272,10774,,,121046,28280,49288,3232,80800,1750,5540,,2030,3190,,,5220,12510,19489,20168,,4647,1180,45484,176,2308,,1581,1061,5126,,,,,1300,6376,,832,1052,9560,27181,141527,,20917,20826,210451,15729,26563,,4686,1760,48738,2040,10926,,1641,n/a,1805,,16412,2008,3122,0,5130,104,452,525,1081,,,,,377,3533,495,295,4700,,,,,,,81,856,295,1232,303,150,766,749,1665,44,606,,,230,3165,,4045,,,,4700,469,1793,1505,3767,70,1879,676,2625,2030,,,,,5884,6028,1148,1455,595920
2013|TAC,28072,51443,,27372,,,3385,110272,10774,,,121046,21210,36966,2424,60600,1750,5540,,2030,3190,,,5220,12510,13250,18000,,4647,1180,37077,176,2308,,1581,1061,5126,,,,,1300,6376,,832,1052,9560,14500,75000,,6900,6900,103300,8650,15400,,4686,1760,30496,2040,10926,,1641,n/a,1805,,16412,2008,3122,0,5130,104,452,525,1081,,,,,377,3533,495,295,4700,,,,,,,81,856,295,1232,303,150,766,749,1665,44,606,,,230,200,,1080,,,,2000,469,1793,1505,3767,70,1879,676,2625,2030,,,,,5884,6028,1148,1455,436255
2012|OFL,n/a,n/a,,n/a,,,n/a,143716,14366,,,158082,n/a,n/a,n/a,104000,n/a,n/a,,n/a,n/a,,,n/a,15330,n/a,n/a,,n/a,n/a,61681,n/a,n/a,,n/a,n/a,6834,,,,,n/a,n/a,,n/a,n/a,12561,n/a,n/a,,n/a,n/a,250100,n/a,n/a,,n/a,n/a,59380,2423,12980,,n/a,,n/a,4095,19498,n/a,n/a,n/a,6574,n/a,n/a,n/a,1441,,,,,n/a,n/a,n/a,n/a,6257,,,,,,,n/a,n/a,n/a,1472,467,n/a,n/a,n/a,2220,n/a,n/a,,,n/a,n/a,,5305,,,,6200,n/a,n/a,n/a,5023,n/a,n/a,n/a,3500,2706,,,,,7641,8037,1530,1941,747780
2012|ABC,30270,45808,,26348,,,3244,105670,10774,,,116444,28032,56940,2628,87600,1780,5760,,2247,3173,,,5420,12960,21994,22910,,4307,1472,50683,176,2308,,1581,1061,5126,,,,,1307,6412,,836,1057,9612,27495,143162,,21159,21066,212882,15300,25838,,4558,1711,47407,2102,11263,,1692,,1861,3553,16918,2156,3351,0,5507,104,452,525,1081,,,,,409,3849,542,318,5118,,,,,,,80,850,293,1223,293,150,766,749,1665,44,606,,,230,3165,,4045,,,,4700,469,1793,1505,3767,70,1879,676,2625,2030,,,,,5731,6028,1148,1455,606048
2012|TAC,30270,45808,,26348,,,3244,105670,10774,,,116444,21024,42705,1971,65700,1780,5760,,2247,3173,,,5420,12960,13250,18000,,4307,1472,37029,176,2308,,1581,1061,5126,,,,,1307,6412,,836,1057,9612,14500,75000,,6900,6900,103300,8650,15400,,4558,1711,30319,2102,11263,,1692,,1861,3553,16918,2156,3351,0,5507,104,452,525,1081,,,,,409,3849,542,318,5118,,,,,,,80,850,293,1223,293,150,766,749,1665,44,606,,,230,200,,1080,,,,2000,469,1793,1505,3767,70,1879,676,2625,2030,,,,,5731,6028,1148,1455,438159
2011|OFL,n/a,n/a,,n/a,,,n/a,118030,12326,,,130356,n/a,n/a,n/a,102600,n/a,n/a,,n/a,n/a,,,n/a,13340,n/a,n/a,,n/a,n/a,67768,n/a,n/a,,n/a,n/a,7823,,,,,n/a,n/a,,n/a,n/a,12499,n/a,n/a,,n/a,n/a,251068,n/a,n/a,,n/a,n/a,61412,3221,11948,,n/a,,n/a,4397,19566,n/a,n/a,n/a,5784,n/a,n/a,n/a,1219,,,,,,,,,,n/a,n/a,,n/a,n/a,5570,n/a,n/a,n/a,1579,479,n/a,n/a,n/a,2360,n/a,n/a,,,n/a,n/a,,4881,,,,6200,n/a,n/a,n/a,4438,n/a,n/a,n/a,3803,2791,,,,,7328,8263,1530,1273,723928
2011|ABC,27031,37365,,20235,,,2339,86970,9245,,,96215,30380,53816,2604,86800,1620,4740,,1990,2940,,,4930,11290,23681,29999,,1228,1334,56242,529,2919,,2083,774,6305,,,,,1517,6294,,868,886,9565,34317,144559,,22551,11723,213150,17442,28104,,2064,1523,49133,2798,10379,,1937,,1883,3820,16997,2573,2281,0,4854,134,325,455,914,,,,,,,,,,611,3052,,407,684,4754,81,868,363,1312,300,425,637,708,1770,212,507,,,276,2757,,3752,,,,4700,598,2049,681,3328,81,2009,762,2852,2093,,,,,5496,6197,1148,954,590121
2011|TAC,27031,37365,,20235,,,2339,86970,9245,,,96215,22785,40362,1953,65100,1620,4740,,1990,2940,,,4930,11290,4500,13000,,1228,1334,20062,529,2919,,2083,774,6305,,,,,1517,6294,,868,886,9565,8000,30000,,2500,2500,43000,2000,5000,,2064,1523,10587,2798,10379,,1937,,1883,3820,16997,2573,2281,0,4854,134,325,455,914,,,,,,,,,,611,3052,,407,684,4754,81,868,363,1312,300,425,637,708,1770,212,507,,,276,200,,1195,,,,2000,598,2049,681,3328,81,2009,762,2852,2093,,,,,5496,6197,1148,954,318288
