YrType,Pollock|Shumagin (610),Pollock|Chirikof (620),Pollock|610/620,Pollock|Kodiak (630),Pollock|610/620/630 (subtotal),Pollock|Shelikof,Pollock|WYK (640),Pollock|W/C/WYK (subtotal),Pollock|SEO (650),Pollock|WYK/SEO (subtotal),Pollock|E,Pollock|Total,Pacific cod|W,Pacific cod|C ,Pacific cod|E,Pacific cod|Total,Sablefish|W,Sablefish|C,Sablefish|E,Sablefish|WYK  ,Sablefish|SEO  ,Sablefish|EYK,Sablefish|SEO/EYK,Sablefish|E (WYK and SEO subtotal),Sablefish|Total,Shallow-water Flatfish|W,Shallow-water Flatfish|C,Shallow-water Flatfish|E,Shallow-water Flatfish|WYK,Shallow-water Flatfish|SEO,Shallow-water Flatfish|Total,Deep-water Flatfish|W,Deep-water Flatfish|C,Deep-water Flatfish|E,Deep-water Flatfish|WYK,Deep-water Flatfish|SEO,Deep-water Flatfish|Total,Other Flounder|W,Other Flounder|C,Other Flounder|E,Other Flounder|Total,Rex Sole|W,Rex Sole|C,Rex Sole|E,Rex Sole|WYK,Rex Sole|SEO,Rex Sole|Total,Arrowtooth Flounder|W,Arrowtooth Flounder|C,Arrowtooth Flounder|E,Arrowtooth Flounder|WYK,Arrowtooth Flounder|SEO,Arrowtooth Flounder|Total,Flathead Sole|W,Flathead Sole|C,Flathead Sole|E,Flathead Sole|WYK,Flathead Sole|SEO,Flathead Sole|Total,Pacific Ocean Perch|W,Pacific Ocean Perch|C,Pacific Ocean Perch|E,Pacific Ocean Perch|WYK,Pacific Ocean Perch|W/C/WYK  ,Pacific Ocean Perch|SEO,Pacific Ocean Perch|E (WYK and SEO subtotal),Pacific Ocean Perch|Total,Northern Rockfish|W,Northern Rockfish|C,Northern Rockfish|E,Northern Rockfish|Total,Shortraker Rockfish|W,Shortraker Rockfish|C,Shortraker Rockfish|E,Shortraker Rockfish|Total,Shortraker/Rougheye Rockfish|W,Shortraker/Rougheye Rockfish|C,Shortraker/Rougheye Rockfish|E,Shortraker/Rougheye Rockfish|Total,Dusky Rockfish (pelagic shelf rockfish)|W,Dusky Rockfish (pelagic shelf rockfish)|C,Dusky Rockfish (pelagic shelf rockfish)|WYK,Dusky Rockfish (pelagic shelf rockfish)|SEO,Dusky Rockfish (pelagic shelf rockfish)|Total,Pelagic Shelf Rockfish|W,Pelagic Shelf Rockfish|C,Pelagic Shelf Rockfish|E,Pelagic Shelf Rockfish|WYK,Pelagic Shelf Rockfish|SEO,Pelagic Shelf Rockfish|Total,Rougheye and Blackspotted Rockfish|W,Rougheye and Blackspotted Rockfish|C,Rougheye and Blackspotted Rockfish|E,Rougheye and Blackspotted Rockfish|Total,Demersal Shelf Rockfish|SEO,Thornyhead Rockfish|W,Thornyhead Rockfish|C,Thornyhead Rockfish|E,Thornyhead Rockfish|Total (GW),Other Rockfish|W,Other Rockfish|C,Other Rockfish|W and C,Other Rockfish|E,Other Rockfish|WYK,Other Rockfish|SEO,Other Rockfish|GW,Other Rockfish|Total,Atka Mackerel|W,Atka Mackerel|C,Atka Mackerel|E,Atka Mackerel|Total (GW),Big Skates|W,Big Skates|C,Big Skates|E,Big Skates|Total,Longnose Skates|W,Longnose Skates|C,Longnose Skates|E,Longnose Skates|Total,Other Skates|GW,Other Species|W,Other Species|C,Other Species|E,Other Species|Total (GW),Sculpins|GW,Sharks|GW,Squids|GW,Octopus|GW,Total|Total
2021|OFL,n/a,n/a,,n/a,,,n/a,123455,13531,,,136986,n/a,n/a,n/a,28977,n/a,n/a,,n/a,n/a,,,n/a,60426,n/a,n/a,,n/a,n/a,68841,n/a,n/a,,n/a,n/a,7040,,,,,n/a,n/a,,n/a,n/a,18779,n/a,n/a,,n/a,n/a,151723,n/a,n/a,,n/a,n/a,47982,n/a,n/a,,n/a,36563,6414,,42977,n/a,n/a,n/a,6396,n/a,n/a,n/a,944,,,,,n/a,n/a,n/a,n/a,8655,,,,,,,n/a,n/a,n/a,1456,405,n/a,n/a,n/a,2604,,,n/a,,n/a,n/a,,5320,,,,6200,n/a,n/a,n/a,4278,n/a,n/a,n/a,3449,1166,,,,,,5006,,1307,610917
2021|ABC,18477,54870,,24320,,,5412,105722,10148,,,115870,7986,13656,1985,23627,3224,9527,,3451,5273,,,8724,21475,24151,28082,,2808,1123,56164,225,1914,,2068,1719,5926,,,,,3013,8912,,1206,2285,15416,32377,69072,,8380,17141,126970,14209,20826,,2427,1915,39377,1643,27429,,1705,30777,5400,,36177,2023,3334,1,5358,52,284,372,708,,,,,270,4548,468,103,5389,,,,,,,168,456,588,1212,257,352,910,691,1953,,,940,,369,2744,,4053,,,,4700,758,1560,890,3208,158,1875,554,2587,875,,,,,,3755,,980,476037
2021|TAC,18477,54870,,24320,,,5412,103079,10148,,,113227,5590,10242,1489,17321,2428,8056,,2929,4579,,,7508,17991,13250,28082,,2808,1123,45263,225,1914,,2068,1719,5926,,,,,3013,8912,,1206,2285,15416,14500,69072,,6900,6900,97372,8650,15400,,2427,1915,28392,1643,27429,,1705,30777,5400,,36177,2023,3334,n/a,5357,52,284,372,708,,,,,270,4548,468,103,5389,,,,,,,168,456,588,1212,257,352,910,691,1953,,,940,,369,300,,1609,,,,3000,758,1560,890,3208,158,1875,554,2587,875,,,,,,3755,,980,407975
2020|OFL,n/a,n/a,,n/a,,,n/a,140674,13531,,,154205,n/a,n/a,n/a,17794,n/a,n/a,,n/a,n/a,,,n/a,50481,n/a,n/a,,n/a,n/a,68010,n/a,n/a,,n/a,n/a,7163,,,,,n/a,n/a,,n/a,n/a,18127,n/a,n/a,,n/a,n/a,153017,n/a,n/a,,n/a,n/a,46572,n/a,n/a,,n/a,31567,5525,,37092,n/a,n/a,n/a,5143,n/a,n/a,n/a,944,,,,,n/a,n/a,n/a,n/a,4492,,,,,,,n/a,n/a,n/a,1452,375,n/a,n/a,n/a,2688,,,n/a,,n/a,n/a,,5320,,,,6200,n/a,n/a,n/a,4278,n/a,n/a,n/a,3449,1166,,,,,6932,10913,,1307,607120
2020|ABC,19175,54456,,26597,,,5554,"108,494",10148,,,118642,4942,8458,1221,14621,2278,7560,,2521,4524,,,7045,16883,23849,27732,,2773,1109,55463,226,1948,,2105,1751,6030,,,,,2901,8579,,1174,2224,14878,31455,68669,,10242,17694,128060,13783,20201,,2354,1858,38196,1437,23678,,1470,26585,4653,,31238,1133,3178,1,4312,52,284,372,708,,,,,776,2746,115,39,3676,,,,,,,168,455,586,1209,238,326,911,779,2016,,,940,,369,2744,,4053,,,,4700,758,1560,890,3208,158,1875,554,2587,875,,,,,5199,8184,,980,465956
2020|TAC,19175,54456,,26597,,,5554,105782,10148,,,115930,2076,3806,549,6431,1942,6445,,2343,3663,,,6006,14393,13250,27732,,2773,1109,44864,226,1948,,2105,1751,6030,,,,,2901,8579,,1174,2224,14878,14500,68669,,6900,6900,96969,8650,15400,,2354,1858,28262,1437,23678,,1470,26585,4653,,31238,1133,3178,0,4311,52,284,372,708,,,,,776,2746,115,39,3676,,,,,,,168,455,586,1209,238,326,911,779,2016,,,940,,369,2744,,4053,,,,3000,758,1560,890,3208,158,1875,554,2587,875,,,,,5199,8184,,980,399239
2019|OFL,n/a,n/a,,n/a,,,n/a,194230,11697,,,205927,n/a,n/a,n/a,23669,n/a,n/a,,n/a,n/a,,,n/a,25227,n/a,n/a,,n/a,n/a,68309,n/a,n/a,,n/a,n/a,11434,,,,,n/a,n/a,,n/a,n/a,17889,n/a,n/a,,n/a,n/a,174598,n/a,n/a,,n/a,n/a,44865,n/a,n/a,,n/a,31113,2838,,33951,n/a,n/a,n/a,5402,n/a,n/a,n/a,1151,,,,,n/a,n/a,n/a,n/a,4521,,,,,,,n/a,n/a,n/a,1715,411,n/a,n/a,n/a,2688,,,n/a,,n/a,n/a,,7356,,,,6200,n/a,n/a,n/a,3797,n/a,n/a,n/a,4763,1845,,,,,6958,10913,,1300,664889
2019|ABC,24875,67388,,34443,,,5748,"135,850",8773,,,144623,7633,7667,1700,17000,1581,5178,,1828,2984,,,4812,11571,25620,25731,,2279,1957,55587,416,3443,,3280,2362,9501,,,,,2951,8357,,1657,1727,14692,35994,70995,,15911,22941,145841,13234,21109,,2016,423,36782,3227,19646,,3296,26169,2386,,28555,1190,3338,1,4529,44,305,514,863,,,,,781,2764,95,60,3700,,,,,,,174,550,704,1428,261,326,911,779,2016,,,1737,,368,3489,,5594,,,,4700,504,1774,570,2848,149,2804,619,3572,1384,,,,,5301,8184,,975,509507
2019|TAC,24875,67388,,34443,,,5748,132454,8773,,,141227,5343,5750,1275,12368,1581,5178,,1828,2984,,,4812,11571,13250,25731,,2279,1957,43217,416,3443,,3280,2362,9501,,,,,2951,8357,,1657,1727,14692,14500,70995,,6900,6900,99295,8650,15400,,2016,423,26489,3227,19646,,3296,26169,2386,,28555,1190,3338,0,4528,44,305,514,863,,,,,781,2764,95,60,3700,,,,,,,174,550,704,1428,261,326,911,779,2016,,,1737,,368,3489,,5594,,,,3000,504,1774,570,2848,149,2804,619,3572,1384,,,,,5301,8184,,975,430569
2018|OFL,n/a,n/a,,n/a,,,n/a,187059,11697,,,198756,n/a,n/a,n/a,23565,n/a,n/a,,n/a,n/a,,,n/a,22703,n/a,n/a,,n/a,n/a,67240,n/a,n/a,,n/a,n/a,11294,,,,,n/a,n/a,,n/a,n/a,18706,n/a,n/a,,n/a,n/a,180697,n/a,n/a,,n/a,n/a,43011,n/a,n/a,,n/a,31860,2902,,34762,n/a,n/a,n/a,4380,n/a,n/a,n/a,1151,,,,,n/a,n/a,n/a,n/a,4841,,,,,,,n/a,n/a,n/a,1735,394,n/a,n/a,n/a,2717,,,n/a,,n/a,n/a,,7356,,,,6200,n/a,n/a,n/a,3797,n/a,n/a,n/a,4763,1845,,,,,6958,6020,1516,1300,655707
2018|ABC,30188,79495,,40939,,,6833,"161,492",8773,,,170265,8082,8118,1800,18000,1544,5158,,1829,2974,,,4803,11505,25206,25315,,2242,1925,54688,413,3400,,3239,2332,9384,,,,,3086,8739,,1737,1811,15373,37253,73480,,16468,23744,150945,12690,20238,,1932,406,35266,3312,20112,,3371,26795,2441,,29236,420,3261,4,3685,44,305,515,864,,,,,146,3502,232,77,3957,,,,,,,176,556,712,1444,250,344,921,773,2038,,,1737,,368,3489,,5594,,,,4700,504,1774,570,2848,149,2804,619,3572,1384,,,,,5301,4514,1137,975,536921
