YrType,BS|Pollock,AI|Pollock,Bogslof|Pollock,BSAI|Pacific cod,BS|Pacific cod,AI|Pacific cod,BSAI Total|Sablefish,Alaska Total|Sablefish,BS|Sablefish,AI|Sablefish,BSAI|Yellowfin Sole,BSAI|Greenland Turbot,BS|Greenland Turbot,AI|Greenland Turbot,BSAI|Arrowtooth Flounder,BSAI|Kamchatka Flounder,BSAI|Rock Sole,BSAI|Flathead Sole,BSAI|Alaska Plaice,BSAI|Other Flatfish,BSAI|Pacific Ocean Perch,BS|Pacific Ocean Perch,AI Total|Pacific Ocean Perch,EAI|Pacific Ocean Perch,CAI|Pacific Ocean Perch,WAI|Pacific Ocean Perch,BSAI|Sharpchin/Northern,BS|Sharpchin/Northern,AI|Sharpchin/Northern,BSAI|Northern Rockfish,BS|Northern Rockfish,AI|Northern Rockfish,BSAI|Blackspotted/Rougheye Rockfish,BS/EAI|Blackspotted/Rougheye Rockfish,CAI/WAI|Blackspotted/Rougheye Rockfish,BSAI|Shortraker Rockfish,BSAI|Shortraker Rockfish,BS|Shortraker Rockfish,AI|Shortraker Rockfish,BS|Other Red Rockfish,AI|Other Red Rockfish,BSAI|Other Rockfish,BS|Other Rockfish,AI|Other Rockfish,BSAI|Atka Mackerel,EAI/BS|Atka Mackerel,CAI|Atka Mackerel,WAI|Atka Mackerel,BSAI|Skates,BSAI|Sculpins,BSAI|Sharks,BSAI|Squids,BSAI|Octopuses,BSAI|Other Species,BSAI|Total
2021|OFL,2594000,61856,113479,0,147949,27400,0,60426,n/a,n/a,341571,8568,n/a,n/a,90873,10630,145180,75863,37924,22919,44376,n/a,0,n/a,n/a,n/a,0,0,0,18917,0,0,576,n/a,n/a,722,0,0,0,0,0,1751,n/a,n/a,85580,n/a,n/a,n/a,49297,0,689,0,4769,0,3945315
2021|ABC,1626000,51241,85109,0,123805,20600,0,29588,3396,4717,313477,7326,6176,1150,77349,8982,140306,62567,31657,17189,37173,10782,0,8419,6198,11774,0,0,0,15557,0,0,482,313,169,541,0,0,0,0,0,1313,919,394,73590,25760,15450,32380,41257,0,517,0,3576,0,2747727
2021|TAC,1375000,19000,250,0,111380,13796,0,n/a,3396,4717,200000,6025,5125,900,15000,8982,54500,25000,24500,6500,35899,10782,0,8419,6198,10500,0,0,0,13000,0,0,482,313,169,500,0,0,0,0,0,916,522,394,62257,25760,15450,21047,18000,0,200,0,700,0,2000000
2021|iTAC,1237500,17100,250,0,99462,12320,0,n/a,2802,3833,178600,5121,4356,765,12750,7635,48669,22325,20825,5525,31594,9165,0,7518,5535,9377,0,0,0,11050,0,0,410,266,144,425,0,0,0,0,0,779,444,335,55596,23004,13797,18795,15300,0,170,0,595,0,1790634
2021|CDQ,137500,1900,0,0,11918,1476,0,n/a,467,796,21400,n/a,548,0,1605,0,5832,2675,0,0,n/a,0,0,901,663,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6661,2756,1653,2252,0,0,0,0,0,0,195466
2020|OFL,4085000,66973,183080,0,191386,27400,0,50481,n/a,n/a,287307,11319,n/a,n/a,84057,11495,157300,82810,37600,21824,58956,n/a,0,n/a,n/a,n/a,0,0,0,19751,0,0,861,n/a,n/a,722,0,0,0,0,0,1793,n/a,n/a,81200,n/a,n/a,n/a,49792,67817,689,0,4769,0,5584382
2020|ABC,2043000,55120,137310,0,155873,20600,0,n/a,2174,2952,260918,9625,8403,1222,71618,9708,153300,68134,31600,16368,48846,14168,0,11063,8144,15471,0,0,0,16243,0,0,708,444,264,541,0,0,0,0,0,1344,956,388,70100,24535,14721,30844,41543,50863,517,0,3576,0,3272581
2020|TAC,1425000,19000,75,0,141799,13796,0,n/a,1861,2039,150700,5300,5125,175,10000,6800,47100,19500,17000,4000,42875,14168,0,10613,8094,10000,0,0,0,10000,0,0,349,85,264,375,0,0,0,0,0,1088,700,388,59305,24535,14721,20049,16313,5300,150,0,275,0,2000000
2020|iTAC,1282500,17100,75,0,126627,12320,0,n/a,1535,1657,134575,4505,4356,149,8500,5780,42060,17414,14450,3400,37678,12043,0,9477,7228,8930,0,0,0,8500,0,0,297,72,224,319,0,0,0,0,0,925,595,330,52959,21910,13146,17904,13866,4505,128,0,234,0,1791907
2020|CDQ,142500,1900,0,0,15172,1476,0,n/a,256,344,16125,n/a,548,0,1070,0,5040,2087,0,0,n/a,0,0,1136,866,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6346,2625,1575,2145,0,0,0,0,0,0,195935
2019|OFL,3914000,64240,183080,0,216000,27400,0,0,3221,4350,290000,11362,n/a,n/a,82939,10965,122000,80918,39880,21824,61067,n/a,0,n/a,n/a,n/a,0,0,0,15507,0,0,676,n/a,n/a,722,0,0,0,0,0,1793,n/a,n/a,79200,n/a,n/a,n/a,51152,53201,689,0,4769,0,5340955
2019|ABC,2163000,52887,137310,0,181000,20600,0,0,1489,2008,263200,9658,8431,1227,70673,9260,118900,66625,33600,16368,50594,14675,0,11459,8435,16025,0,0,0,12664,0,0,555,351,204,541,0,0,0,0,0,1344,956,388,68500,23970,14390,30140,42714,39995,517,0,3576,0,3367578
2019|TAC,1397000,19000,75,0,166475,14214,0,0,1489,2008,154000,5294,5125,169,8000,5000,47100,14500,18000,6500,44069,14675,0,11009,8385,10000,0,0,0,6500,0,0,279,75,204,358,0,0,0,0,0,663,275,388,57951,23970,14390,19591,26000,5000,125,0,400,0,2000000
2019|iTAC,1257300,17100,75,0,148662,12693,0,0,1228,1632,137522,4500,4356,144,6800,4250,42060,12949,15300,5525,38723,12474,0,9831,7488,8930,0,0,0,5525,0,0,237,64,173,304,0,0,0,0,0,564,234,330,51750,21405,12850,17495,22100,4250,106,0,340,0,1791495
2019|CDQ,139700,1900,0,0,17813,1521,0,0,205,339,16478,n/a,548,0,856,0,5040,1552,0,0,n/a,0,0,1178,897,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6201,2565,1540,2096,0,0,0,0,0,0,195297
2018|OFL,4797000,49291,130428,0,238000,28700,0,0,2887,3917,306700,13148,n/a,n/a,76757,11347,147300,79862,41170,17591,51675,n/a,0,n/a,n/a,n/a,0,0,0,15888,0,0,749,n/a,n/a,666,0,0,0,0,0,1816,n/a,n/a,108600,n/a,n/a,n/a,46668,53201,689,6912,4769,0,6235731
2018|ABC,2592000,40788,60800,0,201000,21500,0,0,1464,1988,277500,11132,9718,1414,65932,9737,143100,66773,34590,13193,42509,11861,0,10021,7787,12840,0,0,0,12975,0,0,613,374,239,499,0,0,0,0,0,1362,791,571,92000,36820,32000,23180,39082,39995,517,5184,3576,0,3779809
2018|TAC,1364341,19000,450,0,188136,15695,0,0,1464,1988,154000,5294,5125,169,13621,5000,47100,14500,16100,4000,37361,11861,0,9000,7500,9000,0,0,0,6100,0,0,225,75,150,150,0,0,0,0,0,845,275,570,71000,36500,21000,13500,27000,5000,180,1200,250,0,2000000
2018|iTAC,1227907,17100,450,0,168005,14016,0,0,1208,1615,137522,4500,4356,144,11578,4250,42060,12949,13685,3400,32853,10082,0,8037,6698,8037,0,0,0,5185,0,0,191,64,128,128,0,0,0,0,0,718,234,485,63403,32595,18753,12056,22950,4250,153,1020,213,0,1790946
2018|CDQ,136434,1900,0,0,20131,1679,0,0,201,335,16478,n/a,548,0,1457,0,5040,1552,0,0,n/a,0,0,963,803,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7597,3906,2247,1445,0,0,0,0,0,0,196081
2017|OFL,3640000,43650,130428,0,284000,28700,0,0,1499,2044,287000,11615,n/a,n/a,76100,10360,159700,81654,42800,17591,53152,n/a,0,n/a,n/a,n/a,0,0,0,16242,0,0,612,n/a,n/a,666,0,0,0,0,0,1816,n/a,n/a,102700,n/a,n/a,n/a,49063,56582,689,6912,4769,0,5110344
2017|ABC,2800000,36061,60800,0,239000,21500,0,0,1274,1735,260800,6644,5800,844,65371,8880,155100,68278,36000,13193,43723,12199,0,10307,8009,13208,0,0,0,13264,0,0,501,306,195,499,0,0,0,0,0,1362,791,571,87200,34890,30330,21980,41144,42387,517,5184,3576,0,4013993
2017|TAC,1345000,19000,500,0,223704,15695,0,0,1274,1735,154000,4500,4375,125,14000,5000,47100,14500,13000,2500,34900,11000,0,7900,7000,9000,0,0,0,5000,0,0,225,100,125,125,0,0,0,0,0,875,325,550,65000,34500,18000,12500,26000,4500,125,1342,400,0,2000000
2017|iTAC,1210500,17100,500,0,199768,14016,0,0,1051,1410,137522,3825,3719,106,11900,4250,42060,12949,11050,2125,30693,9350,0,7055,6251,8037,0,0,0,4250,0,0,191,85,106,106,0,0,0,0,0,744,276,468,58045,30809,16074,11163,22100,3825,106,1141,340,0,1791566
2017|CDQ,134500,1900,0,0,23936,1679,0,0,175,293,16478,n/a,468,0,1498,0,5040,1552,0,0,n/a,0,0,845,749,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6955,3692,1926,1338,0,0,0,0,0,0,197031
2016|OFL,3910000,39075,31906,0,390000,23400,0,0,1304,1766,228100,4194,n/a,n/a,94035,11100,165900,79562,49000,17414,40529,n/a,0,n/a,n/a,n/a,0,0,0,14689,0,0,693,n/a,n/a,690,0,0,0,0,0,1667,n/a,n/a,104749,n/a,n/a,n/a,50215,52365,1363,6912,3452,0,5324080
2016|ABC,2090000,32227,23850,0,255000,17600,0,0,1151,1557,211700,3462,2673,789,80701,9500,161000,66250,41000,13061,33320,8353,0,7916,7355,9696,0,0,0,11960,0,0,561,179,382,518,0,0,0,0,0,1250,695,555,90340,30832,27216,32292,42134,39725,1022,5184,2589,0,3236662
2016|TAC,1340000,19000,500,0,238680,12839,0,0,1151,1557,144000,2837,2673,200,14000,5000,57100,21000,14500,2500,31900,8000,0,7900,7000,9000,0,0,0,4500,0,0,300,100,200,200,0,0,0,0,0,875,325,550,55000,28500,16000,10500,26000,4500,125,1500,400,0,2000000
